%% LaTeX2e file `div_duration_info_2_512x512D8L1.0I0.0.csv'
%% generated by the `filecontents' environment
%% from source `diplominf' on 2016/10/24.
%%
i,d,min,max,mean
0,0.225,0.1,1.42,0.137474
1,0.145,0.1,1.42,0.137474
2,0.135,0.1,1.42,0.137474
3,0.13,0.1,1.42,0.137474
4,0.13,0.1,1.42,0.137474
5,0.14,0.1,1.42,0.137474
6,0.135,0.1,1.42,0.137474
7,0.125,0.1,1.42,0.137474
8,0.12,0.1,1.42,0.137474
9,0.12,0.1,1.42,0.137474
10,0.12,0.1,1.42,0.137474
11,0.115,0.1,1.42,0.137474
12,0.115,0.1,1.42,0.137474
13,0.115,0.1,1.42,0.137474
14,0.12,0.1,1.42,0.137474
15,0.13,0.1,1.42,0.137474
16,0.125,0.1,1.42,0.137474
17,0.115,0.1,1.42,0.137474
18,0.125,0.1,1.42,0.137474
19,0.12,0.1,1.42,0.137474
20,0.115,0.1,1.42,0.137474
21,0.125,0.1,1.42,0.137474
22,0.12,0.1,1.42,0.137474
23,0.12,0.1,1.42,0.137474
24,0.12,0.1,1.42,0.137474
25,0.12,0.1,1.42,0.137474
26,0.125,0.1,1.42,0.137474
27,0.12,0.1,1.42,0.137474
28,0.12,0.1,1.42,0.137474
29,0.11,0.1,1.42,0.137474
30,0.12,0.1,1.42,0.137474
31,0.115,0.1,1.42,0.137474
32,0.115,0.1,1.42,0.137474
33,0.115,0.1,1.42,0.137474
34,0.12,0.1,1.42,0.137474
35,0.12,0.1,1.42,0.137474
36,0.13,0.1,1.42,0.137474
37,0.125,0.1,1.42,0.137474
38,0.12,0.1,1.42,0.137474
39,0.125,0.1,1.42,0.137474
40,0.185,0.1,1.42,0.137474
41,0.15,0.1,1.42,0.137474
42,0.195,0.1,1.42,0.137474
43,0.195,0.1,1.42,0.137474
44,0.19,0.1,1.42,0.137474
45,0.705,0.1,1.42,0.137474
46,0.185,0.1,1.42,0.137474
47,0.19,0.1,1.42,0.137474
48,0.185,0.1,1.42,0.137474
49,0.2,0.1,1.42,0.137474
50,1.42,0.1,1.42,0.137474
51,0.15,0.1,1.42,0.137474
52,0.13,0.1,1.42,0.137474
53,0.13,0.1,1.42,0.137474
54,0.115,0.1,1.42,0.137474
55,0.12,0.1,1.42,0.137474
56,0.12,0.1,1.42,0.137474
57,0.125,0.1,1.42,0.137474
58,0.12,0.1,1.42,0.137474
59,0.115,0.1,1.42,0.137474
60,0.13,0.1,1.42,0.137474
61,0.12,0.1,1.42,0.137474
62,0.12,0.1,1.42,0.137474
63,0.115,0.1,1.42,0.137474
64,0.12,0.1,1.42,0.137474
65,0.125,0.1,1.42,0.137474
66,0.12,0.1,1.42,0.137474
67,0.12,0.1,1.42,0.137474
68,0.115,0.1,1.42,0.137474
69,0.12,0.1,1.42,0.137474
70,0.12,0.1,1.42,0.137474
71,0.115,0.1,1.42,0.137474
72,0.115,0.1,1.42,0.137474
