%% LaTeX2e file `div_duration_info_2_512x512D8L1.0I0.0.csv'
%% generated by the `filecontents' environment
%% from source `diplominf' on 2016/10/24.
%%
i,d,min,max,mean
73,0.12,0.1,1.42,0.137474
74,0.115,0.1,1.42,0.137474
75,0.115,0.1,1.42,0.137474
76,0.115,0.1,1.42,0.137474
77,0.115,0.1,1.42,0.137474
78,0.115,0.1,1.42,0.137474
79,0.115,0.1,1.42,0.137474
80,0.1,0.1,1.42,0.137474
81,0.12,0.1,1.42,0.137474
82,0.13,0.1,1.42,0.137474
83,0.125,0.1,1.42,0.137474
84,0.12,0.1,1.42,0.137474
85,0.12,0.1,1.42,0.137474
86,0.12,0.1,1.42,0.137474
87,0.12,0.1,1.42,0.137474
88,0.12,0.1,1.42,0.137474
89,0.36,0.1,1.42,0.137474
90,0.305,0.1,1.42,0.137474
91,0.105,0.1,1.42,0.137474
92,0.11,0.1,1.42,0.137474
93,0.115,0.1,1.42,0.137474
94,0.115,0.1,1.42,0.137474
95,0.105,0.1,1.42,0.137474
96,0.13,0.1,1.42,0.137474
97,0.115,0.1,1.42,0.137474
98,0.135,0.1,1.42,0.137474
99,0.12,0.1,1.42,0.137474
100,0.13,0.1,1.42,0.137474
101,0.13,0.1,1.42,0.137474
102,0.14,0.1,1.42,0.137474
103,0.13,0.1,1.42,0.137474
104,0.13,0.1,1.42,0.137474
105,0.115,0.1,1.42,0.137474
106,0.13,0.1,1.42,0.137474
107,0.11,0.1,1.42,0.137474
108,0.115,0.1,1.42,0.137474
109,0.13,0.1,1.42,0.137474
110,0.12,0.1,1.42,0.137474
111,0.12,0.1,1.42,0.137474
112,0.125,0.1,1.42,0.137474
113,0.115,0.1,1.42,0.137474
114,0.12,0.1,1.42,0.137474
115,0.115,0.1,1.42,0.137474
116,0.125,0.1,1.42,0.137474
117,0.125,0.1,1.42,0.137474
118,0.12,0.1,1.42,0.137474
119,0.12,0.1,1.42,0.137474
120,0.125,0.1,1.42,0.137474
121,0.115,0.1,1.42,0.137474
122,0.12,0.1,1.42,0.137474
123,0.11,0.1,1.42,0.137474
124,0.12,0.1,1.42,0.137474
125,0.12,0.1,1.42,0.137474
126,0.12,0.1,1.42,0.137474
127,0.12,0.1,1.42,0.137474
128,0.13,0.1,1.42,0.137474
129,0.11,0.1,1.42,0.137474
130,0.125,0.1,1.42,0.137474
131,0.12,0.1,1.42,0.137474
132,0.12,0.1,1.42,0.137474
133,0.12,0.1,1.42,0.137474
134,0.125,0.1,1.42,0.137474
135,0.12,0.1,1.42,0.137474
136,0.115,0.1,1.42,0.137474
137,0.12,0.1,1.42,0.137474
138,0.27,0.1,1.42,0.137474
139,0.315,0.1,1.42,0.137474
140,0.11,0.1,1.42,0.137474
141,0.115,0.1,1.42,0.137474
142,0.11,0.1,1.42,0.137474
143,0.125,0.1,1.42,0.137474
144,0.105,0.1,1.42,0.137474
145,0.11,0.1,1.42,0.137474
146,0.125,0.1,1.42,0.137474
147,0.115,0.1,1.42,0.137474
148,0.125,0.1,1.42,0.137474
149,0.125,0.1,1.42,0.137474
150,0.12,0.1,1.42,0.137474
151,0.12,0.1,1.42,0.137474
152,0.11,0.1,1.42,0.137474
153,0.12,0.1,1.42,0.137474
154,0.11,0.1,1.42,0.137474
155,0.105,0.1,1.42,0.137474
156,0.11,0.1,1.42,0.137474
157,0.11,0.1,1.42,0.137474
158,0.115,0.1,1.42,0.137474
159,0.16,0.1,1.42,0.137474
160,0.1,0.1,1.42,0.137474
161,0.105,0.1,1.42,0.137474
162,0.12,0.1,1.42,0.137474
163,0.11,0.1,1.42,0.137474
164,0.13,0.1,1.42,0.137474
165,0.12,0.1,1.42,0.137474
166,0.115,0.1,1.42,0.137474
167,0.115,0.1,1.42,0.137474
168,0.115,0.1,1.42,0.137474
169,0.115,0.1,1.42,0.137474
170,0.125,0.1,1.42,0.137474
171,0.105,0.1,1.42,0.137474
172,0.115,0.1,1.42,0.137474
173,0.12,0.1,1.42,0.137474
174,0.11,0.1,1.42,0.137474
175,0.11,0.1,1.42,0.137474
176,0.115,0.1,1.42,0.137474
177,0.12,0.1,1.42,0.137474
178,0.12,0.1,1.42,0.137474
179,0.12,0.1,1.42,0.137474
180,0.125,0.1,1.42,0.137474
181,0.12,0.1,1.42,0.137474
182,0.12,0.1,1.42,0.137474
183,0.12,0.1,1.42,0.137474
184,0.125,0.1,1.42,0.137474
185,0.12,0.1,1.42,0.137474
186,0.12,0.1,1.42,0.137474
187,0.12,0.1,1.42,0.137474
188,0.135,0.1,1.42,0.137474
189,0.12,0.1,1.42,0.137474
190,0.12,0.1,1.42,0.137474
191,0.11,0.1,1.42,0.137474
