%% LaTeX2e file `div_data_mean_4_512x512D10L0.0I0.0A0.0J0.0pre.csv'
%% generated by the `filecontents' environment
%% from source `diplominf' on 2016/10/26.
%%
a,p,r,g,b,m
10,27.1986,0.952102,0.950781,0.953468,0.952117
9,27.1374,0.953138,0.951787,0.954536,0.953154
8,27.532,0.956499,0.955163,0.957757,0.956473
7,27.9139,0.959854,0.95838,0.96085,0.959695
6,28.0217,0.96043,0.958791,0.961095,0.960105
