%% LaTeX2e file `div_data_mean_2_512x512D8L1.0I0.5.csv'
%% generated by the `filecontents' environment
%% from source `diplominf' on 2016/10/26.
%%
a,p,r,g,b,m
90,16.5665,0.69742,0.69742,0.679542,0.69146
85,16.2953,0.697366,0.697366,0.680138,0.691623
80,16.1423,0.69621,0.69621,0.679101,0.690507
75,16.0084,0.694593,0.694593,0.677689,0.688958
70,15.8949,0.692753,0.692753,0.675884,0.68713
65,15.8191,0.692213,0.692213,0.675445,0.686623
60,15.7854,0.692935,0.692936,0.676662,0.687511
55,15.8055,0.695771,0.695771,0.679315,0.690286
50,15.8705,0.700293,0.700293,0.684167,0.694917
45,15.9884,0.706932,0.706932,0.691084,0.70165
40,16.156,0.714892,0.714892,0.699623,0.709802
35,16.3763,0.724751,0.724749,0.710037,0.719846
30,16.638,0.736312,0.736312,0.722101,0.731575
25,16.9608,0.74922,0.74922,0.736369,0.744937
20,17.3968,0.765881,0.765881,0.754104,0.761956
15,19.0037,0.788357,0.788357,0.777502,0.784738
