%% LaTeX2e file `div_data_2_512x512D8L1.0I0.5.csv'
%% generated by the `filecontents' environment
%% from source `diplominf' on 2016/10/24.
%%
a,p,r,g,b,m
90,17.8209,0.683934,0.683934,0.659724,0.675864
90,18.1591,0.688646,0.688646,0.662101,0.679798
90,18.197,0.700131,0.700131,0.677783,0.692682
90,18.435,0.727328,0.727328,0.710355,0.72167
90,17.1159,0.712017,0.712017,0.697953,0.707329
90,15.3703,0.662335,0.662335,0.646616,0.657095
90,14.3512,0.640915,0.640915,0.622696,0.634842
90,14.1364,0.669932,0.669932,0.652586,0.66415
90,15.1414,0.749196,0.749196,0.736709,0.745033
90,15.629,0.754495,0.754495,0.743869,0.750953
90,15.9221,0.700209,0.700209,0.687364,0.695927
90,17.2649,0.693383,0.693383,0.676563,0.687776
85,17.6852,0.681657,0.681657,0.657474,0.673596
85,18.0047,0.689211,0.689211,0.663303,0.680575
85,18.016,0.699369,0.699369,0.677037,0.691925
85,18.2546,0.726417,0.726417,0.709579,0.720805
85,17.0151,0.71283,0.71283,0.698804,0.708155
85,15.2108,0.663401,0.663401,0.647717,0.658173
85,14.0976,0.639865,0.639865,0.62275,0.63416
85,13.8695,0.667238,0.667238,0.650289,0.661588
85,14.9387,0.7455,0.7455,0.73278,0.74126
85,15.5308,0.751738,0.751738,0.740461,0.747979
85,15.8431,0.69995,0.69995,0.687459,0.695786
85,17.077,0.691214,0.691214,0.674006,0.685478
80,17.5643,0.681342,0.681342,0.656611,0.673099
80,17.8932,0.690563,0.690563,0.66464,0.681922
80,17.8514,0.699897,0.699897,0.677604,0.692466
80,18.0967,0.725966,0.725966,0.709187,0.720373
80,16.8469,0.709363,0.709363,0.695774,0.704833
80,15.0342,0.663734,0.663734,0.649087,0.658852
80,13.8589,0.640349,0.640349,0.624104,0.634934
80,13.6518,0.66439,0.66439,0.647148,0.658643
80,14.73,0.738996,0.738996,0.725923,0.734639
80,15.4492,0.748147,0.748147,0.737014,0.744436
80,15.7714,0.700656,0.700656,0.687836,0.696382
80,16.959,0.691119,0.691119,0.674284,0.685507
75,17.4405,0.68168,0.68168,0.657397,0.673586
75,17.7693,0.689463,0.689463,0.664564,0.681163
75,17.6885,0.698371,0.698371,0.677294,0.691345
75,17.9487,0.725809,0.725809,0.708775,0.720131
75,16.6242,0.705365,0.705365,0.691573,0.700768
75,14.8651,0.663544,0.663544,0.648134,0.658407
75,13.6496,0.640409,0.640409,0.625019,0.635279
75,13.4925,0.661933,0.661933,0.644703,0.65619
75,14.5711,0.729945,0.729945,0.716626,0.725506
75,15.4537,0.746069,0.746069,0.735296,0.742478
75,15.7435,0.701077,0.701077,0.688137,0.696764
75,16.8541,0.691446,0.691448,0.674752,0.685882
70,17.3573,0.682312,0.682312,0.658569,0.674397
70,17.6955,0.691114,0.691114,0.667077,0.683102
70,17.546,0.697992,0.697992,0.676964,0.690983
70,17.7235,0.721393,0.721393,0.704895,0.715893
70,16.4253,0.701502,0.701502,0.687735,0.696913
70,14.7463,0.66368,0.66368,0.649082,0.658814
70,13.5067,0.638627,0.638627,0.623125,0.63346
70,13.3868,0.6606,0.6606,0.642969,0.654723
70,14.4263,0.722115,0.722115,0.707756,0.717328
70,15.4526,0.740642,0.740642,0.728985,0.736756
70,15.7148,0.701261,0.701261,0.68761,0.696711
70,16.7581,0.691795,0.691797,0.675846,0.686479
65,17.2508,0.68387,0.68387,0.66083,0.67619
65,17.6067,0.693485,0.693485,0.669572,0.685514
65,17.4389,0.698895,0.698895,0.678255,0.692015
65,17.531,0.718721,0.718721,0.702833,0.713425
65,16.3092,0.698701,0.698701,0.684499,0.693967
65,14.6726,0.665514,0.665514,0.651737,0.660921
65,13.4387,0.640554,0.640554,0.623491,0.634866
65,13.2717,0.656581,0.656581,0.639243,0.650801
65,14.3129,0.712879,0.712879,0.698287,0.708015
65,15.4799,0.737974,0.737974,0.725818,0.733922
65,15.7784,0.703921,0.703921,0.690901,0.699581
65,16.739,0.695455,0.695455,0.679875,0.690262
60,17.2602,0.688343,0.688343,0.666542,0.681076
60,17.5724,0.696128,0.696134,0.673013,0.688425
60,17.3551,0.70077,0.70077,0.680685,0.694075
60,17.3668,0.719202,0.719202,0.702751,0.713718
60,16.2051,0.697795,0.697795,0.684522,0.693371
60,14.6189,0.665251,0.665251,0.652399,0.660967
60,13.3904,0.640445,0.640445,0.624204,0.635031
60,13.2516,0.656763,0.656763,0.639914,0.651146
60,14.271,0.706494,0.706494,0.69223,0.70174
60,15.5501,0.736049,0.736049,0.724004,0.732034
60,15.8477,0.708382,0.708382,0.695771,0.704179
60,16.7355,0.699601,0.699601,0.683901,0.694368
55,17.3092,0.695315,0.695315,0.674043,0.688224
55,17.5365,0.700369,0.700369,0.678161,0.692966
55,17.3129,0.703477,0.703477,0.683541,0.696831
55,17.2367,0.71959,0.71959,0.704097,0.714425
55,16.1576,0.699383,0.699383,0.685757,0.694841
55,14.6524,0.670631,0.670631,0.656892,0.666051
55,13.4498,0.644827,0.644827,0.628774,0.639476
55,13.307,0.658178,0.658178,0.640515,0.652291
55,14.3023,0.703955,0.703955,0.688031,0.698647
55,15.6418,0.73549,0.73549,0.722316,0.731099
55,15.9779,0.713515,0.713515,0.70046,0.709164
55,16.7822,0.704517,0.704517,0.689197,0.69941
50,17.3467,0.703516,0.703516,0.683006,0.696679
50,17.5631,0.707111,0.707111,0.685335,0.699852
50,17.3223,0.71041,0.71041,0.690958,0.703926
50,17.1477,0.721304,0.721304,0.706355,0.716321
50,16.1385,0.701683,0.701683,0.687665,0.69701
50,14.739,0.675009,0.675009,0.662508,0.670842
50,13.563,0.650986,0.650986,0.634955,0.645642
50,13.4351,0.661642,0.661642,0.644693,0.655992
50,14.3934,0.704252,0.704252,0.687785,0.698763
50,15.7876,0.735791,0.735791,0.72159,0.731058
50,16.1278,0.719116,0.719116,0.706531,0.714921
50,16.8815,0.712694,0.712694,0.69862,0.708002
45,17.4549,0.714904,0.714904,0.696179,0.708662
45,17.5783,0.713319,0.713319,0.69282,0.706486
45,17.3615,0.718539,0.718539,0.69884,0.711973
45,17.1192,0.724741,0.724741,0.709617,0.7197
45,16.1702,0.706351,0.706351,0.692357,0.701686
45,14.8771,0.682178,0.682178,0.669636,0.677997
45,13.7338,0.658858,0.658858,0.643173,0.65363
45,13.6409,0.667553,0.667553,0.649952,0.661686
45,14.5559,0.706326,0.706326,0.690036,0.700896
45,15.9719,0.739008,0.739008,0.725591,0.734536
45,16.3726,0.73001,0.73001,0.717094,0.725705
45,17.0242,0.7214,0.7214,0.707717,0.716839
40,17.5958,0.725678,0.725678,0.708151,0.719836
40,17.6633,0.7217,0.7217,0.701529,0.714977
40,17.4357,0.726898,0.726898,0.708927,0.720908
40,17.1633,0.732562,0.732562,0.718525,0.727883
40,16.2239,0.711909,0.711909,0.69967,0.70783
40,15.0568,0.68994,0.68994,0.677193,0.685691
40,13.9988,0.669146,0.669146,0.653512,0.663935
40,13.9263,0.675252,0.675252,0.657172,0.669226
40,14.7778,0.708242,0.708242,0.692093,0.702859
40,16.1475,0.742804,0.742804,0.728401,0.738003
40,16.6427,0.740576,0.740576,0.72877,0.736641
40,17.2403,0.733992,0.733992,0.721534,0.729839
35,17.8106,0.741999,0.741999,0.725864,0.736621
35,17.78,0.734252,0.734252,0.714783,0.727762
35,17.5986,0.738199,0.738199,0.72143,0.732609
35,17.2471,0.739814,0.739814,0.726821,0.735483
35,16.3335,0.721478,0.721478,0.70922,0.717392
35,15.3006,0.699345,0.699345,0.686701,0.69513
35,14.3764,0.68251,0.68251,0.6667,0.67724
35,14.2575,0.683167,0.683167,0.66595,0.677428
35,15.0101,0.711537,0.711537,0.695577,0.706217
35,16.3384,0.745614,0.745614,0.730562,0.740597
35,16.9429,0.749778,0.749778,0.738562,0.74604
35,17.52,0.749318,0.749298,0.73828,0.745632
30,18.1451,0.762942,0.762942,0.748287,0.758057
30,17.9582,0.748901,0.748901,0.731397,0.743066
30,17.7602,0.749847,0.749847,0.734673,0.744789
30,17.3447,0.748262,0.748262,0.735738,0.744087
30,16.5041,0.729964,0.729964,0.718567,0.726165
30,15.5611,0.709167,0.709167,0.696093,0.704809
30,14.7776,0.695147,0.695147,0.679286,0.68986
30,14.663,0.695256,0.695256,0.677892,0.689468
30,15.3092,0.718458,0.718458,0.701586,0.712834
30,16.5143,0.749693,0.749693,0.734328,0.744571
30,17.2307,0.759773,0.759773,0.748518,0.756021
30,17.888,0.76834,0.76834,0.75885,0.765177
25,18.7281,0.79048,0.79048,0.77957,0.786843
25,18.2292,0.76754,0.76754,0.753039,0.762707
25,17.9336,0.761346,0.761346,0.748872,0.757188
25,17.4592,0.756441,0.756441,0.745272,0.752718
25,16.7033,0.739281,0.739281,0.727677,0.735413
25,15.9093,0.722132,0.722132,0.710467,0.718244
25,15.2478,0.709573,0.709573,0.694662,0.704603
25,15.1438,0.708074,0.708074,0.69103,0.702393
25,15.6335,0.725709,0.725709,0.70895,0.720122
25,16.7441,0.75398,0.75398,0.73933,0.749097
25,17.5337,0.769969,0.769969,0.75908,0.766339
25,18.2645,0.786119,0.786119,0.778478,0.783572
20,19.7706,0.834983,0.834983,0.828371,0.832779
20,18.7742,0.794615,0.794615,0.784542,0.791257
20,18.1875,0.777715,0.777715,0.767893,0.774441
20,17.6463,0.765188,0.765188,0.754989,0.761788
20,16.9777,0.7508,0.7508,0.739802,0.747134
20,16.292,0.735765,0.735765,0.723561,0.731697
20,15.7931,0.725389,0.725389,0.711499,0.720759
20,15.6396,0.721079,0.721079,0.704409,0.715523
20,16.0811,0.737789,0.737789,0.720808,0.732129
20,17.0198,0.760706,0.760706,0.745468,0.755627
20,17.7795,0.779089,0.779089,0.767156,0.775111
20,18.7997,0.80746,0.80746,0.800752,0.805224
15,34.9437,0.994587,0.994587,0.992678,0.993951
15,19.4759,0.824822,0.824822,0.820075,0.82324
15,18.5446,0.794093,0.794093,0.786838,0.791674
15,17.9398,0.77808,0.77808,0.768998,0.775053
15,17.2116,0.759067,0.759067,0.74763,0.755255
15,16.6596,0.746971,0.746971,0.734934,0.742958
15,16.3001,0.740096,0.740096,0.725851,0.735347
15,16.2171,0.737816,0.737816,0.722584,0.732739
15,16.5582,0.748093,0.748093,0.732776,0.742987
15,17.2681,0.766395,0.766395,0.751424,0.761404
15,17.9217,0.781903,0.781903,0.768733,0.777513
15,18.9596,0.815363,0.815363,0.80705,0.812592
