%% LaTeX2e file `div_data_2_512x512D8L1.0I1.0.csv'
%% generated by the `filecontents' environment
%% from source `diplominf' on 2016/10/26.
%%
a,p,r,g,b,m
20,16.1086,0.729747,0.729747,0.716349,0.725281
20,15.611,0.719385,0.719385,0.705084,0.714618
20,15.4818,0.715939,0.715939,0.69927,0.710382
20,15.9161,0.730689,0.730689,0.714437,0.725271
20,16.8395,0.752978,0.752978,0.737489,0.747815
20,17.5175,0.766619,0.766619,0.753423,0.76222
20,18.4757,0.793909,0.793909,0.787086,0.791634
15,33.418,0.992711,0.992711,0.990502,0.991975
15,19.0475,0.80963,0.80963,0.803589,0.807616
15,18.2531,0.782946,0.782946,0.773621,0.779838
15,17.6754,0.76742,0.76742,0.755785,0.763542
15,16.9777,0.749954,0.749954,0.736542,0.745483
15,16.4742,0.740933,0.740933,0.727864,0.736577
15,16.102,0.73293,0.73293,0.718172,0.72801
15,16.0121,0.730427,0.730427,0.714879,0.725245
15,16.3459,0.740823,0.740823,0.725124,0.73559
15,17.0443,0.758963,0.758963,0.743161,0.753696
15,17.6736,0.770496,0.770496,0.757,0.765997
15,18.6315,0.802357,0.802357,0.792856,0.79919
