%% LaTeX2e file `div_data_2_512x512D8L1.0I1.0.csv'
%% generated by the `filecontents' environment
%% from source `diplominf' on 2016/10/26.
%%
a,p,r,g,b,m
90,17.7876,0.683332,0.683332,0.659218,0.675294
90,17.9749,0.687979,0.687979,0.661414,0.679124
90,18.1302,0.69996,0.69996,0.67751,0.692477
90,18.4084,0.72682,0.72682,0.709458,0.721033
90,17.0561,0.712229,0.712229,0.69767,0.707376
90,15.3193,0.659632,0.659632,0.643621,0.654295
90,14.372,0.640287,0.640287,0.621836,0.634137
90,14.0643,0.669924,0.669924,0.652457,0.664102
90,15.0961,0.747248,0.747248,0.735081,0.743193
90,15.6966,0.754157,0.754157,0.743599,0.750638
90,15.8636,0.698582,0.698583,0.685202,0.694122
90,17.227,0.691686,0.691686,0.674965,0.686113
85,17.6204,0.67974,0.67974,0.655813,0.671764
85,17.8614,0.689285,0.689285,0.663336,0.680636
85,17.9666,0.699771,0.699771,0.677246,0.692262
85,18.2517,0.725822,0.725822,0.708304,0.719983
85,16.9666,0.712555,0.712555,0.698239,0.707783
85,15.1983,0.663638,0.663638,0.647604,0.658293
85,14.1214,0.640634,0.640634,0.623277,0.634848
85,13.7983,0.666937,0.666937,0.650112,0.661328
85,14.8936,0.743694,0.743694,0.730822,0.739404
85,15.6188,0.751257,0.751257,0.73991,0.747475
85,15.7924,0.698025,0.698025,0.684715,0.693589
85,17.0235,0.689591,0.689591,0.672418,0.683867
80,17.5116,0.679779,0.679779,0.655361,0.67164
80,17.7588,0.690784,0.690784,0.664774,0.682114
80,17.7853,0.699733,0.699733,0.677761,0.692409
80,18.1007,0.725156,0.725156,0.707837,0.719383
80,16.777,0.708997,0.708997,0.695205,0.7044
80,14.9926,0.661923,0.661923,0.646722,0.656856
80,13.853,0.640073,0.640073,0.623678,0.634608
80,13.5876,0.664263,0.664263,0.648215,0.658914
80,14.706,0.737592,0.737592,0.724479,0.733221
80,15.5606,0.748594,0.748594,0.737045,0.744744
80,15.7233,0.69785,0.69785,0.683951,0.693217
80,16.9218,0.689608,0.689608,0.672639,0.683952
75,17.3834,0.680257,0.680257,0.65643,0.672315
75,17.6254,0.689634,0.689634,0.664991,0.68142
75,17.6104,0.698031,0.698031,0.676615,0.690893
75,17.9077,0.724761,0.724761,0.707611,0.719044
75,16.561,0.703884,0.703884,0.689542,0.699104
75,14.8293,0.661744,0.661744,0.646411,0.656633
75,13.6318,0.639302,0.639302,0.624335,0.634313
75,13.4244,0.662758,0.662758,0.64611,0.657209
75,14.5719,0.728862,0.728862,0.716222,0.724648
75,15.5478,0.744227,0.744227,0.733199,0.740551
75,15.726,0.699506,0.699506,0.685598,0.69487
75,16.8204,0.68968,0.689681,0.672564,0.683975
70,17.2775,0.680042,0.680042,0.656348,0.672144
70,17.5464,0.690944,0.690944,0.66674,0.682876
70,17.4764,0.697454,0.697454,0.6768,0.69057
70,17.6761,0.721024,0.721024,0.704114,0.715387
70,16.3433,0.699408,0.699408,0.685602,0.694806
70,14.6823,0.660806,0.660806,0.645949,0.655853
70,13.4574,0.636966,0.636966,0.621224,0.631719
70,13.3129,0.658886,0.658886,0.641505,0.653093
70,14.4356,0.720708,0.720708,0.706396,0.715937
70,15.537,0.7393,0.7393,0.726865,0.735155
70,15.7073,0.698786,0.698786,0.684954,0.694176
70,16.7202,0.690534,0.690536,0.673547,0.684872
65,17.179,0.681636,0.681636,0.658693,0.673988
65,17.4665,0.692505,0.692505,0.668493,0.684501
65,17.3633,0.698094,0.698094,0.67749,0.691226
65,17.441,0.717821,0.717821,0.701325,0.712322
65,16.2266,0.696268,0.696268,0.682012,0.691516
65,14.5853,0.661932,0.661932,0.647722,0.657195
65,13.3603,0.637546,0.637546,0.621636,0.632243
65,13.199,0.655293,0.655293,0.638691,0.649759
65,14.3343,0.712648,0.712648,0.697865,0.707721
65,15.5727,0.737065,0.737065,0.724304,0.732811
65,15.7618,0.701567,0.701567,0.687686,0.69694
65,16.6844,0.69258,0.69258,0.676144,0.687102
60,17.1728,0.686042,0.686042,0.664082,0.678722
60,17.4387,0.69631,0.696318,0.673113,0.68858
60,17.2757,0.700157,0.700157,0.679837,0.693384
60,17.2768,0.717484,0.717484,0.70086,0.711943
60,16.1295,0.695412,0.695412,0.681622,0.690815
60,14.5177,0.662373,0.662373,0.649301,0.658015
60,13.2969,0.638163,0.638163,0.622467,0.632931
60,13.1639,0.65454,0.65454,0.637348,0.64881
60,14.276,0.705422,0.705422,0.691071,0.700639
60,15.6189,0.734185,0.734185,0.721632,0.730001
60,15.8338,0.70536,0.70536,0.691962,0.700894
60,16.6421,0.695725,0.695725,0.679137,0.690196
55,17.1867,0.692155,0.692155,0.670469,0.684926
55,17.4132,0.699676,0.699676,0.676948,0.6921
55,17.2499,0.703059,0.703059,0.683109,0.696409
55,17.147,0.717428,0.717428,0.701494,0.712117
55,16.074,0.69677,0.69677,0.68303,0.69219
55,14.5255,0.666057,0.666057,0.651891,0.661335
55,13.3469,0.64237,0.64237,0.62651,0.637083
55,13.2318,0.65689,0.65689,0.63969,0.651157
55,14.2664,0.701052,0.701052,0.685632,0.695912
55,15.6634,0.732324,0.732324,0.71862,0.727756
55,15.9728,0.711171,0.711171,0.697107,0.706483
55,16.6832,0.700347,0.700347,0.683813,0.694836
50,17.1987,0.698464,0.698464,0.67723,0.691386
50,17.4148,0.705033,0.705033,0.683365,0.697811
50,17.2298,0.708654,0.708654,0.689226,0.702178
50,17.035,0.718382,0.718382,0.702331,0.713032
50,16.0404,0.698596,0.698596,0.683809,0.693667
50,14.5933,0.671394,0.671394,0.658132,0.666973
50,13.4626,0.649329,0.649329,0.633767,0.644142
50,13.3551,0.659826,0.659826,0.642568,0.654073
50,14.3467,0.70082,0.70082,0.685805,0.695815
50,15.7853,0.732524,0.732524,0.718572,0.727873
50,16.1112,0.715946,0.715946,0.702733,0.711542
50,16.7648,0.707203,0.707203,0.692201,0.702203
45,17.2974,0.709008,0.709008,0.689908,0.702641
45,17.4424,0.710017,0.710017,0.689928,0.70332
45,17.2534,0.715348,0.715348,0.695935,0.708877
45,17.0122,0.721799,0.721799,0.706245,0.716614
45,16.0842,0.703525,0.703525,0.689316,0.698789
45,14.7308,0.678276,0.678276,0.665287,0.673946
45,13.6219,0.656497,0.656497,0.640582,0.651192
45,13.5595,0.665271,0.665271,0.64782,0.659454
45,14.4871,0.702519,0.702519,0.687019,0.697353
45,15.9201,0.734372,0.734372,0.720742,0.729829
45,16.3429,0.725873,0.725873,0.712534,0.721427
45,16.8699,0.713739,0.713739,0.699552,0.70901
40,17.4167,0.718742,0.718742,0.700058,0.712514
40,17.5256,0.718664,0.718664,0.698921,0.712083
40,17.3225,0.722881,0.722881,0.704641,0.716801
40,17.0632,0.729001,0.729001,0.714446,0.724149
40,16.1262,0.708878,0.708878,0.695333,0.704363
40,14.9044,0.686097,0.686097,0.672398,0.681531
40,13.8777,0.665552,0.665552,0.649592,0.660232
40,13.8465,0.673134,0.673134,0.655193,0.667154
40,14.7038,0.704604,0.704604,0.688477,0.699229
40,16.0812,0.737673,0.737673,0.723432,0.732926
40,16.5494,0.7337,0.7337,0.72061,0.729337
40,17.0622,0.7256,0.7256,0.712488,0.72123
35,17.5795,0.732483,0.732483,0.715118,0.726695
35,17.5865,0.727572,0.727572,0.707862,0.721002
35,17.4212,0.731182,0.731182,0.714162,0.725509
35,17.1084,0.734671,0.734671,0.720487,0.729943
35,16.2082,0.716265,0.716265,0.703737,0.712089
35,15.1357,0.695606,0.695606,0.682003,0.691072
35,14.2349,0.677061,0.677061,0.661494,0.671872
35,14.1661,0.68102,0.68102,0.662893,0.674977
35,14.9213,0.707944,0.707944,0.691429,0.702439
35,16.2402,0.738662,0.738662,0.724506,0.733943
35,16.8517,0.744765,0.744765,0.732211,0.74058
35,17.3186,0.740011,0.739991,0.727663,0.735889
30,17.853,0.750573,0.750573,0.734649,0.745265
30,17.7126,0.739475,0.739475,0.721193,0.733381
30,17.5444,0.741974,0.741974,0.72624,0.736729
30,17.1882,0.741813,0.741813,0.728139,0.737255
30,16.3725,0.724305,0.724305,0.711584,0.720064
30,15.4041,0.704914,0.704914,0.691418,0.700416
30,14.6362,0.690137,0.690137,0.674826,0.685034
30,14.5505,0.691512,0.691512,0.673971,0.685665
30,15.1853,0.712734,0.712734,0.696047,0.707172
30,16.3837,0.741873,0.741873,0.726723,0.736823
30,17.0855,0.752113,0.752113,0.739615,0.747947
30,17.6425,0.7567,0.7567,0.746386,0.753262
25,18.3659,0.776669,0.776669,0.763712,0.77235
25,17.9316,0.756235,0.756235,0.740089,0.750853
25,17.6933,0.751723,0.751723,0.738132,0.747193
25,17.3211,0.750633,0.750633,0.738206,0.746491
25,16.5497,0.733131,0.733131,0.719861,0.728708
25,15.7348,0.716807,0.716807,0.703768,0.712461
25,15.103,0.704696,0.704696,0.689711,0.699701
25,14.9959,0.702542,0.702542,0.684811,0.696632
25,15.4916,0.719444,0.719444,0.702669,0.713852
25,16.5801,0.745863,0.745863,0.731089,0.740938
25,17.3345,0.760028,0.760028,0.747663,0.755906
25,17.9829,0.773603,0.773603,0.764728,0.770645
20,19.3246,0.819338,0.819338,0.811477,0.816718
20,18.4329,0.781378,0.781378,0.769945,0.777567
20,17.9143,0.766522,0.766522,0.755422,0.762822
20,17.4764,0.757964,0.757964,0.745185,0.753705
20,16.7795,0.742967,0.742967,0.729815,0.738583
