%% LaTeX2e file `div_duration_info_2_512x512D8L1.0I0.5.csv'
%% generated by the `filecontents' environment
%% from source `diplominf' on 2016/10/26.
%%
i,d,min,max,mean
163,0.105,0.055,0.22,0.104948
164,0.095,0.055,0.22,0.104948
165,0.1,0.055,0.22,0.104948
166,0.1,0.055,0.22,0.104948
167,0.105,0.055,0.22,0.104948
168,0.105,0.055,0.22,0.104948
169,0.11,0.055,0.22,0.104948
170,0.095,0.055,0.22,0.104948
171,0.22,0.055,0.22,0.104948
172,0.095,0.055,0.22,0.104948
173,0.1,0.055,0.22,0.104948
174,0.095,0.055,0.22,0.104948
175,0.095,0.055,0.22,0.104948
176,0.095,0.055,0.22,0.104948
177,0.095,0.055,0.22,0.104948
178,0.095,0.055,0.22,0.104948
179,0.105,0.055,0.22,0.104948
180,0.1,0.055,0.22,0.104948
181,0.205,0.055,0.22,0.104948
182,0.09,0.055,0.22,0.104948
183,0.1,0.055,0.22,0.104948
184,0.095,0.055,0.22,0.104948
185,0.1,0.055,0.22,0.104948
186,0.1,0.055,0.22,0.104948
187,0.1,0.055,0.22,0.104948
188,0.095,0.055,0.22,0.104948
189,0.095,0.055,0.22,0.104948
190,0.095,0.055,0.22,0.104948
191,0.11,0.055,0.22,0.104948
