%% LaTeX2e file `div_data_mean_2_512x512D8L1.0I0.0.csv'
%% generated by the `filecontents' environment
%% from source `diplominf' on 2016/10/27.
%%
a,p,r,g,b,m
90,16.5217,0.696637,0.696637,0.678695,0.690656
85,16.2587,0.696774,0.696774,0.679456,0.691002
80,16.1025,0.695315,0.695315,0.678092,0.689574
75,15.9675,0.693608,0.693608,0.676739,0.687985
70,15.8434,0.691353,0.691353,0.674273,0.68566
65,15.7607,0.690694,0.690694,0.673847,0.685078
60,15.7157,0.691412,0.691413,0.674972,0.685932
55,15.7255,0.693696,0.693696,0.677031,0.688141
50,15.7834,0.697852,0.697852,0.681594,0.692432
45,15.894,0.703802,0.703802,0.687838,0.698481
40,16.0525,0.711226,0.711226,0.695543,0.705998
35,16.2502,0.72003,0.72003,0.704707,0.714922
30,16.4869,0.729999,0.729999,0.715256,0.725085
25,16.7868,0.742079,0.742079,0.728146,0.737435
20,17.1938,0.757835,0.757835,0.745132,0.753601
15,18.6943,0.781048,0.781048,0.769163,0.777087
