%% LaTeX2e file `div_duration_info_2_512x512D8L1.0I1.0.csv'
%% generated by the `filecontents' environment
%% from source `diplominf' on 2016/10/27.
%%
i,d,min,max,mean
0,0.13,0.09,0.135,0.102292
1,0.11,0.09,0.135,0.102292
2,0.135,0.09,0.135,0.102292
3,0.115,0.09,0.135,0.102292
4,0.115,0.09,0.135,0.102292
5,0.115,0.09,0.135,0.102292
6,0.105,0.09,0.135,0.102292
7,0.1,0.09,0.135,0.102292
8,0.11,0.09,0.135,0.102292
9,0.095,0.09,0.135,0.102292
10,0.1,0.09,0.135,0.102292
11,0.105,0.09,0.135,0.102292
12,0.105,0.09,0.135,0.102292
13,0.1,0.09,0.135,0.102292
14,0.095,0.09,0.135,0.102292
15,0.1,0.09,0.135,0.102292
16,0.095,0.09,0.135,0.102292
17,0.105,0.09,0.135,0.102292
18,0.105,0.09,0.135,0.102292
19,0.105,0.09,0.135,0.102292
20,0.105,0.09,0.135,0.102292
21,0.1,0.09,0.135,0.102292
22,0.11,0.09,0.135,0.102292
23,0.11,0.09,0.135,0.102292
24,0.1,0.09,0.135,0.102292
25,0.1,0.09,0.135,0.102292
26,0.105,0.09,0.135,0.102292
27,0.1,0.09,0.135,0.102292
28,0.1,0.09,0.135,0.102292
29,0.11,0.09,0.135,0.102292
30,0.1,0.09,0.135,0.102292
31,0.1,0.09,0.135,0.102292
32,0.105,0.09,0.135,0.102292
33,0.1,0.09,0.135,0.102292
34,0.1,0.09,0.135,0.102292
35,0.1,0.09,0.135,0.102292
36,0.105,0.09,0.135,0.102292
37,0.1,0.09,0.135,0.102292
38,0.105,0.09,0.135,0.102292
39,0.11,0.09,0.135,0.102292
40,0.1,0.09,0.135,0.102292
41,0.105,0.09,0.135,0.102292
42,0.1,0.09,0.135,0.102292
43,0.1,0.09,0.135,0.102292
44,0.095,0.09,0.135,0.102292
45,0.1,0.09,0.135,0.102292
46,0.095,0.09,0.135,0.102292
47,0.1,0.09,0.135,0.102292
48,0.1,0.09,0.135,0.102292
49,0.1,0.09,0.135,0.102292
50,0.1,0.09,0.135,0.102292
51,0.105,0.09,0.135,0.102292
52,0.1,0.09,0.135,0.102292
53,0.1,0.09,0.135,0.102292
54,0.105,0.09,0.135,0.102292
55,0.105,0.09,0.135,0.102292
56,0.105,0.09,0.135,0.102292
57,0.105,0.09,0.135,0.102292
58,0.105,0.09,0.135,0.102292
59,0.105,0.09,0.135,0.102292
60,0.1,0.09,0.135,0.102292
61,0.1,0.09,0.135,0.102292
62,0.095,0.09,0.135,0.102292
63,0.105,0.09,0.135,0.102292
64,0.095,0.09,0.135,0.102292
65,0.1,0.09,0.135,0.102292
66,0.105,0.09,0.135,0.102292
67,0.11,0.09,0.135,0.102292
68,0.105,0.09,0.135,0.102292
69,0.1,0.09,0.135,0.102292
70,0.105,0.09,0.135,0.102292
71,0.1,0.09,0.135,0.102292
72,0.1,0.09,0.135,0.102292
73,0.1,0.09,0.135,0.102292
74,0.095,0.09,0.135,0.102292
75,0.095,0.09,0.135,0.102292
76,0.1,0.09,0.135,0.102292
77,0.095,0.09,0.135,0.102292
78,0.09,0.09,0.135,0.102292
79,0.09,0.09,0.135,0.102292
80,0.095,0.09,0.135,0.102292
81,0.105,0.09,0.135,0.102292
82,0.1,0.09,0.135,0.102292
83,0.1,0.09,0.135,0.102292
84,0.095,0.09,0.135,0.102292
85,0.1,0.09,0.135,0.102292
86,0.1,0.09,0.135,0.102292
87,0.1,0.09,0.135,0.102292
88,0.095,0.09,0.135,0.102292
89,0.09,0.09,0.135,0.102292
90,0.1,0.09,0.135,0.102292
91,0.1,0.09,0.135,0.102292
92,0.095,0.09,0.135,0.102292
93,0.095,0.09,0.135,0.102292
94,0.095,0.09,0.135,0.102292
95,0.095,0.09,0.135,0.102292
96,0.1,0.09,0.135,0.102292
97,0.1,0.09,0.135,0.102292
98,0.1,0.09,0.135,0.102292
99,0.105,0.09,0.135,0.102292
100,0.1,0.09,0.135,0.102292
101,0.095,0.09,0.135,0.102292
102,0.1,0.09,0.135,0.102292
103,0.095,0.09,0.135,0.102292
104,0.095,0.09,0.135,0.102292
105,0.095,0.09,0.135,0.102292
106,0.1,0.09,0.135,0.102292
107,0.095,0.09,0.135,0.102292
108,0.11,0.09,0.135,0.102292
109,0.095,0.09,0.135,0.102292
110,0.11,0.09,0.135,0.102292
111,0.1,0.09,0.135,0.102292
112,0.095,0.09,0.135,0.102292
113,0.095,0.09,0.135,0.102292
114,0.1,0.09,0.135,0.102292
115,0.1,0.09,0.135,0.102292
116,0.095,0.09,0.135,0.102292
117,0.105,0.09,0.135,0.102292
118,0.1,0.09,0.135,0.102292
119,0.1,0.09,0.135,0.102292
120,0.1,0.09,0.135,0.102292
121,0.095,0.09,0.135,0.102292
122,0.095,0.09,0.135,0.102292
123,0.1,0.09,0.135,0.102292
124,0.1,0.09,0.135,0.102292
125,0.1,0.09,0.135,0.102292
126,0.1,0.09,0.135,0.102292
127,0.1,0.09,0.135,0.102292
128,0.095,0.09,0.135,0.102292
129,0.095,0.09,0.135,0.102292
130,0.105,0.09,0.135,0.102292
131,0.1,0.09,0.135,0.102292
132,0.1,0.09,0.135,0.102292
133,0.1,0.09,0.135,0.102292
134,0.1,0.09,0.135,0.102292
135,0.1,0.09,0.135,0.102292
136,0.095,0.09,0.135,0.102292
137,0.1,0.09,0.135,0.102292
138,0.1,0.09,0.135,0.102292
139,0.1,0.09,0.135,0.102292
140,0.1,0.09,0.135,0.102292
141,0.095,0.09,0.135,0.102292
142,0.095,0.09,0.135,0.102292
143,0.095,0.09,0.135,0.102292
144,0.09,0.09,0.135,0.102292
145,0.1,0.09,0.135,0.102292
146,0.105,0.09,0.135,0.102292
147,0.11,0.09,0.135,0.102292
148,0.115,0.09,0.135,0.102292
149,0.115,0.09,0.135,0.102292
150,0.105,0.09,0.135,0.102292
151,0.105,0.09,0.135,0.102292
152,0.105,0.09,0.135,0.102292
153,0.105,0.09,0.135,0.102292
154,0.105,0.09,0.135,0.102292
155,0.105,0.09,0.135,0.102292
156,0.105,0.09,0.135,0.102292
157,0.105,0.09,0.135,0.102292
158,0.11,0.09,0.135,0.102292
159,0.1,0.09,0.135,0.102292
160,0.1,0.09,0.135,0.102292
161,0.1,0.09,0.135,0.102292
162,0.105,0.09,0.135,0.102292
163,0.105,0.09,0.135,0.102292
164,0.11,0.09,0.135,0.102292
165,0.105,0.09,0.135,0.102292
166,0.105,0.09,0.135,0.102292
167,0.105,0.09,0.135,0.102292
168,0.11,0.09,0.135,0.102292
169,0.105,0.09,0.135,0.102292
170,0.105,0.09,0.135,0.102292
171,0.105,0.09,0.135,0.102292
172,0.105,0.09,0.135,0.102292
173,0.105,0.09,0.135,0.102292
174,0.105,0.09,0.135,0.102292
175,0.105,0.09,0.135,0.102292
176,0.1,0.09,0.135,0.102292
177,0.11,0.09,0.135,0.102292
178,0.11,0.09,0.135,0.102292
179,0.11,0.09,0.135,0.102292
180,0.12,0.09,0.135,0.102292
181,0.105,0.09,0.135,0.102292
182,0.105,0.09,0.135,0.102292
183,0.105,0.09,0.135,0.102292
184,0.11,0.09,0.135,0.102292
185,0.12,0.09,0.135,0.102292
186,0.105,0.09,0.135,0.102292
187,0.105,0.09,0.135,0.102292
188,0.105,0.09,0.135,0.102292
189,0.125,0.09,0.135,0.102292
190,0.105,0.09,0.135,0.102292
191,0.1,0.09,0.135,0.102292
