%% LaTeX2e file `div_data_2_512x512D8L1.0I0.0.csv'
%% generated by the `filecontents' environment
%% from source `diplominf' on 2016/10/17.
%%
a,p,r,g,b,m
45,14.5065,0.703702,0.703702,0.688393,0.698599
45,15.931,0.735343,0.735343,0.721535,0.730741
45,16.3688,0.727023,0.727023,0.713705,0.722584
45,16.8992,0.715217,0.715217,0.70083,0.710421
40,17.4481,0.719992,0.719992,0.701441,0.713808
40,17.5737,0.719674,0.719674,0.699913,0.713087
40,17.322,0.723508,0.723508,0.705346,0.717454
40,17.086,0.730726,0.730726,0.716225,0.725892
40,16.0986,0.708787,0.708787,0.694924,0.704166
40,14.9036,0.687062,0.687062,0.673381,0.682502
40,13.8601,0.665349,0.665349,0.649717,0.660139
40,13.8506,0.67358,0.67358,0.655776,0.667645
40,14.716,0.705394,0.705394,0.689472,0.700086
40,16.1061,0.738501,0.738501,0.724427,0.73381
40,16.5687,0.734857,0.734857,0.721888,0.730534
40,17.0963,0.727285,0.727285,0.714001,0.722857
35,17.6062,0.733408,0.733408,0.71607,0.727629
35,17.6419,0.72939,0.72939,0.709413,0.722731
35,17.433,0.732226,0.732226,0.715138,0.72653
35,17.1305,0.736074,0.736074,0.722196,0.731448
35,16.2124,0.716934,0.716934,0.704216,0.712695
35,15.1528,0.697226,0.697226,0.683625,0.692692
35,14.2253,0.677325,0.677325,0.661599,0.672083
35,14.1779,0.681886,0.681886,0.663796,0.675856
35,14.9422,0.708765,0.708765,0.692222,0.703251
35,16.2554,0.738973,0.738973,0.724949,0.734298
35,16.8749,0.746273,0.746273,0.733874,0.74214
35,17.3502,0.741882,0.741877,0.729384,0.737714
30,17.8939,0.752187,0.752187,0.736264,0.74688
30,17.755,0.740912,0.740912,0.722478,0.734767
30,17.55,0.742589,0.742589,0.726808,0.737329
30,17.2136,0.743148,0.743148,0.729408,0.738568
30,16.4047,0.725462,0.725462,0.712796,0.72124
30,15.4201,0.705574,0.705574,0.692008,0.701052
30,14.6383,0.690491,0.690491,0.675039,0.685341
30,14.5696,0.692218,0.692218,0.674876,0.686437
30,15.2107,0.713303,0.713303,0.696596,0.707734
30,16.417,0.742899,0.742899,0.728077,0.737958
30,17.1035,0.753168,0.753168,0.741005,0.749114
30,17.6668,0.75804,0.75804,0.747718,0.754599
25,18.4027,0.77827,0.77827,0.764883,0.773808
25,17.9707,0.757369,0.757369,0.741056,0.751931
25,17.7016,0.752496,0.752496,0.738851,0.747948
25,17.3468,0.751785,0.751785,0.739496,0.747688
25,16.5883,0.734499,0.734499,0.721203,0.730067
